"Indicator","PUBLISH STATES","Year","WHO region","Country","Residence Area Type","Display Value","Numeric","Low","High","Comments"
"Population using safely managed sanitation services (%)","Published","2000","Europe","Albania","Rural","38","37.75931","","",""
"Population using safely managed sanitation services (%)","Published","2000","Europe","Albania","Total","39","38.61018","","",""
"Population using safely managed sanitation services (%)","Published","2000","Europe","Albania","Urban","40","39.79776","","",""
"Population using safely managed sanitation services (%)","Published","2001","Europe","Albania","Rural","37","37.43953","","",""
"Population using safely managed sanitation services (%)","Published","2001","Europe","Albania","Total","38","38.42525","","",""
"Population using safely managed sanitation services (%)","Published","2001","Europe","Albania","Urban","40","39.76243","","",""
"Population using safely managed sanitation services (%)","Published","2002","Europe","Albania","Rural","37","37.11975","","",""
"Population using safely managed sanitation services (%)","Published","2002","Europe","Albania","Total","38","38.25397","","",""
"Population using safely managed sanitation services (%)","Published","2002","Europe","Albania","Urban","40","39.72710","","",""
"Population using safely managed sanitation services (%)","Published","2003","Europe","Albania","Rural","37","36.79997","","",""
"Population using safely managed sanitation services (%)","Published","2003","Europe","Albania","Total","38","38.08893","","",""
"Population using safely managed sanitation services (%)","Published","2003","Europe","Albania","Urban","40","39.69178","","",""
"Population using safely managed sanitation services (%)","Published","2004","Europe","Albania","Rural","36","36.48019","","",""
"Population using safely managed sanitation services (%)","Published","2004","Europe","Albania","Total","38","37.93018","","",""
"Population using safely managed sanitation services (%)","Published","2004","Europe","Albania","Urban","40","39.65645","","",""
"Population using safely managed sanitation services (%)","Published","2005","Europe","Albania","Rural","36","36.16040","","",""
"Population using safely managed sanitation services (%)","Published","2005","Europe","Albania","Total","38","37.81890","","",""
"Population using safely managed sanitation services (%)","Published","2005","Europe","Albania","Urban","40","39.70944","","",""
"Population using safely managed sanitation services (%)","Published","2006","Europe","Albania","Rural","36","35.84063","","",""
"Population using safely managed sanitation services (%)","Published","2006","Europe","Albania","Total","38","37.71647","","",""
"Population using safely managed sanitation services (%)","Published","2006","Europe","Albania","Urban","40","39.76376","","",""
"Population using safely managed sanitation services (%)","Published","2007","Europe","Albania","Rural","36","35.52084","","",""
"Population using safely managed sanitation services (%)","Published","2007","Europe","Albania","Total","38","37.62228","","",""
"Population using safely managed sanitation services (%)","Published","2007","Europe","Albania","Urban","40","39.81808","","",""
"Population using safely managed sanitation services (%)","Published","2008","Europe","Albania","Rural","36","35.99896","","",""
"Population using safely managed sanitation services (%)","Published","2008","Europe","Albania","Total","38","37.93534","","",""
"Population using safely managed sanitation services (%)","Published","2008","Europe","Albania","Urban","40","39.87241","","",""
"Population using safely managed sanitation services (%)","Published","2009","Europe","Albania","Rural","37","36.58830","","",""
"Population using safely managed sanitation services (%)","Published","2009","Europe","Albania","Total","38","38.29344","","",""
"Population using safely managed sanitation services (%)","Published","2009","Europe","Albania","Urban","40","39.92673","","",""
"Population using safely managed sanitation services (%)","Published","2010","Europe","Albania","Rural","37","37.17765","","",""
