Year,Total Books Received at CCBC (US Pubs),Black/African,Indigenous,Asian/Pacific Islander,Latinx
2002,3150,166,64,91,94
2003,3200,171,95,78,63
2004,2800,143,33,65,61
2005,2800,149,34,64,76
2006,3000,153,41,74,63
2007,3000,150,44,68,59
2008,3000,172,40,98,79
2009,3000,157,33,80,61
2010,3400,156,22,64,66
2011,3400,123,28,91,58
2012,3600,119,22,76,54
2013,3200,94,34,69,58
2014,3500,181,38,112,66
2015,3400,270,42,113,85
2016,3400,287,55,240,169
2017,3700,355,72,312,218
2018,3335,388,34,315,243
2019,3717,451,43,333,235
