Year,Total Books Received at CCBC (US Pubs),Black/African,Indigenous,Asian/Pacific Islander,Latinx
2002,3150,69,6,46,48
2003,3200,79,11,43,41
2004,2800,99,7,61,37
2005,2800,75,4,60,50
2006,3000,87,14,72,42
2007,3000,77,6,56,42
2008,3000,83,9,77,48
2009,3000,83,12,67,60
2010,3400,102,9,60,55
2011,3400,79,12,76,52
2012,3600,69,6,83,58
2013,3200,69,18,90,49
2014,3500,85,20,129,59
2015,3400,108,19,176,60
2016,3400,94,23,217,104
2017,3700,132,38,279,118
2018,3335,204,26,352,194
2019,3717,224,29,386,228
