ROW_ID,PRODUCT_TYPE,PRODUCT_NAME,METAL,CONCENTRATION,UNITS,MANUFACTURER,MADE_IN_COUNTRY,COLLECTION_DATE,DELETED
766,Food-Spice,Dry Mango Powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,INDIA,03/29/2013 12:00:00 AM,No
1360,Dietary Supplement/Medications/Remedy,Marichyadi Bati (Ayurvedic),Mercury,37,ppm,Shree Baidyanath; Ayurved Bhawan Pvt. Ltd.,INDIA,02/25/2015 12:00:00 AM,No
458,Food-Candy,Candy,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,05/14/2012 12:00:00 AM,No
761,Dietary Supplement/Medications/Remedy,Piperine 4 (Homeopathic),Arsenic,-1,ppm,UNKNOWN OR NOT STATED,INDIA,03/29/2013 12:00:00 AM,No
1025,Toys/Children's Products,Red toy car,Lead,-1,ppm,Mattel,THAILAND,01/09/2014 12:00:00 AM,No
870,Toys/Children's Products,Toy car,Lead,-1,ppm,UNKNOWN OR NOT STATED,CHINA,07/24/2013 12:00:00 AM,No
812,Dietary Supplement/Medications/Remedy,Balance & Comfort II (Yan Hu Suo Capsules),Lead,-1,ppm,UNKNOWN OR NOT STATED,CHINA,06/12/2013 12:00:00 AM,No
361,Dietary Supplement/Medications/Remedy,Phal (Ayurvedic),Arsenic,-1,ppm,Shree Aushadh Pratisthan,INDIA,01/23/2012 12:00:00 AM,No
242,Toys/Children's Products,Wooden block,Lead,4.6,ppm,Melissa & Doug,CHINA,07/14/2011 12:00:00 AM,No
27,Jewelry,Fashion hair clip,Lead,330000,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,02/08/2011 12:00:00 AM,No
707,Toys/Children's Products,Toy,Lead,4.4,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,02/02/2013 12:00:00 AM,No
941,Food-Spice,Spice,Lead,4.1,ppm,UNKNOWN OR NOT STATED,INDIA,10/31/2013 12:00:00 AM,No
1500,Food-Spice,Turmeric,Lead,730,ppm,UNKNOWN OR NOT STATED,BANGLADESH,06/09/2015 12:00:00 AM,No
1562,Toys/Children's Products,Toy pig,Lead,3.4,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,11/18/2015 12:00:00 AM,No
1582,Dietary Supplement/Medications/Remedy,Emperor's Tea Pill (Conc)/Tian Wang Bu Xin Wan,Mercury,-1,ppm,Lanzhou Traditional Herbs,CHINA,12/03/2015 12:00:00 AM,No
363,Dietary Supplement/Medications/Remedy,Phal (Ayurvedic),Mercury,-1,ppm,Shree Aushadh Pratisthan,INDIA,01/23/2012 12:00:00 AM,No
551,Dietary Supplement/Medications/Remedy,Praval Pishti (Ayurvedic),Arsenic,-1,ppm,Rashtriya Ayurvedic Oushadhi Nirmanshala,INDIA,08/08/2012 12:00:00 AM,No
922,Food-Spice,Chicken Tikka Powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,10/22/2013 12:00:00 AM,No
539,Dietary Supplement/Medications/Remedy,Panadol,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,07/27/2012 12:00:00 AM,No
726,Food-Spice,Georgian spice (Ucho),Lead,-1,ppm,UNKNOWN OR NOT STATED,GEORGIA,02/21/2013 12:00:00 AM,No
1546,Food-Spice,Jaifal (Nutmeg),Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,10/07/2015 12:00:00 AM,No
1537,Food-Spice,Georgian spice,Lead,18000,ppm,UNKNOWN OR NOT STATED,GEORGIA,09/30/2015 12:00:00 AM,No
54,Toys/Children's Products,Painted Metal Toy School Bus,Lead,41,ppm,Buddy L Corp,MACAU,03/17/2011 12:00:00 AM,No
85,Food Other,Tea,Lead,3.2,ppm,UNKNOWN OR NOT STATED,MOROCCO,04/06/2011 12:00:00 AM,No
1574,Dietary Supplement/Medications/Remedy,Emperor's Tea Pill (Conc)/Tian Wang Bu Xin Wan,Arsenic,1.7,ppm,Lanzhou Traditional Herbs,CHINA,12/03/2015 12:00:00 AM,No
1306,Dietary Supplement/Medications/Remedy,Rajahpravartini Bati (Ayurvedic),Arsenic,96,ppm,Shree Baidyanath Ayurved Bahwan (P) Ltd.,INDIA,02/25/2015 12:00:00 AM,No
724,Food-Spice,Xmeli,Lead,-1,ppm,UNKNOWN OR NOT STATED,GEORGIA,02/21/2013 12:00:00 AM,No
1201,Food-Spice,Turmeric,Lead,0.66,ppm,UNKNOWN OR NOT STATED,BANGLADESH,09/05/2014 12:00:00 AM,No
1208,Religious powder,Sindoor,Lead,1.1,ppm,UNKNOWN OR NOT STATED,INDIA,09/08/2014 12:00:00 AM,No
1200,Toys/Children's Products,Crayon,Lead,0.53,ppm,Sargent Art,CHINA,08/29/2014 12:00:00 AM,No
886,Cosmetics,Purple Nail Polish,Lead,-1,ppm,Mark Wins International,UNKNOWN OR NOT STATED,08/22/2013 12:00:00 AM,No
1213,Toys/Children's Products,Painted figurine,Lead,0.73,ppm,Mattel,CHINA,09/11/2014 12:00:00 AM,No
714,Food-Spice,Chili Powder,Lead,49,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,02/14/2013 12:00:00 AM,No
13,Food-Spice,Garam masala,Lead,3.8,ppm,UNKNOWN OR NOT STATED,INDIA,01/19/2011 12:00:00 AM,No
447,Cosmetics,Surma (Hashmi),Lead,260000,ppm,UNKNOWN OR NOT STATED,PAKISTAN,05/04/2012 12:00:00 AM,No
369,Dietary Supplement/Medications/Remedy,Garbha Chintamani Ras(Vrihat) (Swarna Yukt) (Ayur),Lead,120,ppm,Shree Baidyanath,INDIA,01/23/2012 12:00:00 AM,No
582,Food-Spice,Ogbono,Lead,-1,ppm,UNKNOWN OR NOT STATED,NIGERIA,09/07/2012 12:00:00 AM,No
1399,Dietary Supplement/Medications/Remedy,Rajahprawartini Bati (Hera Bola&Alua) (Ayurvedic),Arsenic,7.1,ppm,"Shree Baidyanath, Ayurved Bhawan Pvt. Ltd.",INDIA,02/25/2015 12:00:00 AM,No
1431,Food-Spice,Unlabeled brown powder,Lead,0.53,ppm,UNKNOWN OR NOT STATED,EGYPT,02/26/2015 12:00:00 AM,No
269,Dietary Supplement/Medications/Remedy,Shatavari Kalpa (Ayurvedic),Lead,-1,ppm,The Ayurvedeeya Arkashala Ltd. Satara,INDIA,08/25/2011 12:00:00 AM,No
902,Food-Spice,Bouillon en poudre,Lead,-1,ppm,Par Sonia S.A.R.L.,UNKNOWN OR NOT STATED,09/10/2013 12:00:00 AM,No
1181,Food-Spice,Utskho Suneli,Lead,2.5,ppm,UNKNOWN OR NOT STATED,GEORGIA,08/14/2014 12:00:00 AM,No
620,Food-Spice,Georgian spice,Lead,8000,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,10/16/2012 12:00:00 AM,No
564,Food Other,Rock sugar,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,08/16/2012 12:00:00 AM,No
318,Food-Spice,Georgian spice,Lead,-1,ppm,UNKNOWN OR NOT STATED,GEORGIA,11/10/2011 12:00:00 AM,No
